date,action,price,qty,pnl
2025-04-10 02:00:00,BUY,61.87,2,15899.99999999999
2025-04-10 04:00:00,SELL,60.73,2,-2280.000000000001
2025-04-16 09:00:00,BUY,62.21,2,-1799.9999999999973
2025-04-21 10:00:00,SELL,61.9,2,-1320.0000000000073
2025-04-21 16:00:00,BUY,62.85,2,-1340.0000000000034
2025-04-22 15:00:00,SELL,63.49,2,-1380.0000000000095
2025-04-24 08:00:00,BUY,63.08,2,-1299.9999999999973
2025-04-28 06:00:00,SELL,62.74,2,-1280.0000000000011
2025-05-06 10:00:00,BUY,59.39,2,5140.000000000001
2025-05-07 11:00:00,SELL,58.77,2,-1239.999999999995
2025-05-08 10:00:00,BUY,59.51,2,-1739.999999999995
2025-05-15 02:00:00,SELL,61.37,2,2739.999999999995
2025-05-16 09:00:00,BUY,62.0,2,-1260.000000000005
2025-05-19 07:00:00,SELL,61.11,2,-1719.9999999999989
2025-05-19 22:00:00,BUY,62.19,2,40.00000000000625
2025-05-21 15:00:00,SELL,61.52,2,-1339.999999999989
2025-05-25 21:00:00,BUY,61.76,2,-780.0000000000011
2025-05-27 10:00:00,SELL,61.12,2,-1280.0000000000011
2025-05-27 17:00:00,BUY,61.07,2,-1239.999999999995
2025-05-28 16:00:00,SELL,61.57,2,-1280.0000000000011
2025-05-30 07:00:00,BUY,61.52,2,-1640.0000000000005
2025-06-04 20:00:00,SELL,62.64,2,-900.0000000000057
2025-06-05 09:00:00,BUY,63.66,2,-2039.999999999992
2025-06-17 00:00:00,SELL,72.07,2,17639.999999999985
2025-06-17 07:00:00,BUY,72.97,2,-1800.0000000000114
2025-06-18 11:00:00,SELL,73.67,2,-1520.0000000000102
2025-06-22 21:00:00,BUY,75.88,2,-1599.9999999999943
2025-06-23 04:00:00,SELL,74.12,2,-2259.999999999991
2025-06-26 15:00:00,BUY,65.3,2,6360.000000000014
2025-06-29 23:00:00,SELL,65.17,2,-259.9999999999909
2025-07-01 09:00:00,BUY,65.89,2,-1439.9999999999977
2025-07-04 14:00:00,SELL,66.5,2,1620.0000000000045
2025-07-07 10:00:00,BUY,67.36,2,-1719.9999999999989
2025-07-10 10:00:00,SELL,66.9,2,-2159.9999999999964
2025-07-11 11:00:00,BUY,68.19,2,-2219.999999999999
2025-07-14 12:00:00,SELL,67.31,2,-2299.9999999999827
2025-07-17 08:00:00,BUY,66.8,2,-359.9999999999852
2025-07-20 23:00:00,SELL,66.11,2,-1379.9999999999955
2025-07-24 05:00:00,BUY,65.85,2,260.0000000000193
2025-07-25 14:00:00,SELL,65.15,2,-1399.9999999999773
2025-07-28 08:00:00,BUY,66.22,2,-1479.9999999999898
2025-08-01 00:00:00,SELL,69.4,2,5000.0
2025-08-11 22:00:00,BUY,63.99,2,10820.000000000007
2025-08-12 12:00:00,SELL,63.28,2,-1420.0000000000018
2025-08-14 14:00:00,BUY,63.91,2,-1379.9999999999955
2025-08-15 05:00:00,SELL,63.23,2,-1660.000000000011
2025-08-20 19:00:00,BUY,62.92,2,-260.0000000000051
2025-08-26 16:00:00,SELL,63.31,2,780.0000000000011
2025-08-27 15:00:00,BUY,63.98,2,-1339.999999999989
2025-09-03 14:00:00,SELL,63.83,2,99.99999999999432
2025-09-09 11:00:00,BUY,63.39,2,879.9999999999955
2025-09-09 14:00:00,SELL,62.69,2,-1400.0000000000057
2025-09-12 07:00:00,BUY,62.99,2,-1420.0000000000018
2025-09-18 07:00:00,SELL,63.92,2,1659.9999999999966
2025-09-23 15:00:00,BUY,63.55,2,740.0000000000091
2025-09-29 11:00:00,SELL,63.58,2,60.000000000002274
2025-10-06 04:00:00,BUY,61.6,2,3959.9999999999936
2025-10-09 17:00:00,SELL,61.52,2,-159.9999999999966
2025-10-21 14:00:00,BUY,57.22,2,8600.00000000001
2025-10-27 14:00:00,SELL,61.46,2,8480.000000000004
2025-10-31 01:00:00,BUY,60.16,2,2600.0000000000086
2025-11-04 09:00:00,SELL,60.0,2,-319.9999999999932
2025-11-04 11:00:00,BUY,60.77,2,-1540.0000000000064
2025-11-12 10:00:00,SELL,59.11,2,-1400.0000000000057
2025-11-13 09:00:00,BUY,59.11,2,-1480.000000000004
2025-11-18 07:00:00,SELL,60.05,2,1039.999999999992
2025-11-18 14:00:00,BUY,60.71,2,-1320.0000000000073
2025-11-19 04:00:00,SELL,60.13,2,-1399.9999999999914
2025-11-20 00:00:00,BUY,59.45,2,-340.0000000000034
