date,action,price,qty,pnl
2025-03-30 17:05:00,BUY,19299.8,1,1224.0000000000146
2025-03-30 19:15:00,BUY,19195.8,1,908.0000000000291
2025-03-30 19:55:00,BUY,19208.0,1,-710.0
2025-03-31 00:10:00,BUY,19240.0,1,-724.0000000000146
2025-03-31 01:05:00,SELL,19215.8,1,-760.0
2025-03-31 03:45:00,SELL,19218.8,1,-660.0
2025-03-31 06:30:00,BUY,19142.8,1,1234.0000000000146
2025-03-31 06:50:00,BUY,19167.8,1,-875.9999999999854
2025-03-31 08:40:00,BUY,19069.5,1,-725.9999999999854
2025-03-31 08:55:00,BUY,19075.2,1,-1420.0
2025-03-31 11:30:00,SELL,19285.5,1,1390.0
2025-03-31 12:20:00,SELL,19239.5,1,-1085.9999999999854
2025-03-31 13:35:00,SELL,19383.8,1,1025.9999999999854
2025-03-31 14:00:00,SELL,19348.5,1,-945.9999999999854
2025-03-31 14:30:00,SELL,19366.5,1,-1025.9999999999854
2025-03-31 17:40:00,BUY,19374.8,1,-640.0
2025-03-31 21:25:00,BUY,19365.5,1,-705.9999999999854
2025-03-31 23:05:00,SELL,19341.8,1,-694.0000000000146
2025-04-01 01:50:00,SELL,19419.0,1,804.0000000000146
2025-04-01 03:00:00,SELL,19393.8,1,-628.0000000000291
2025-04-01 05:10:00,SELL,19423.2,1,-915.9999999999854
2025-04-01 06:35:00,BUY,19348.2,1,860.0
2025-04-01 07:00:00,BUY,19354.2,1,-608.0000000000291
2025-04-01 08:55:00,SELL,19405.8,1,-754.0000000000146
2025-04-01 09:25:00,BUY,19336.0,1,-735.9999999999854
2025-04-01 10:10:00,SELL,19548.8,1,1105.9999999999854
2025-04-01 11:20:00,SELL,19630.0,1,944.0000000000146
2025-04-01 13:25:00,BUY,19387.2,1,1300.0
2025-04-01 14:55:00,SELL,19610.5,1,1550.0
2025-04-01 17:25:00,SELL,19672.5,1,820.0
2025-04-01 20:00:00,BUY,19572.0,1,810.0
2025-04-02 02:40:00,BUY,19522.0,1,895.9999999999854
2025-04-02 03:30:00,BUY,19544.5,1,-660.0
2025-04-02 07:00:00,BUY,19428.8,1,1104.0000000000146
2025-04-02 07:30:00,BUY,19344.8,1,1288.000000000029
2025-04-02 08:35:00,BUY,19418.0,1,-1640.0
2025-04-02 08:50:00,SELL,19567.2,1,1364.0000000000146
2025-04-02 09:10:00,SELL,19532.2,1,-1635.9999999999854
2025-04-02 10:15:00,SELL,19584.8,1,-954.0000000000146
2025-04-02 10:50:00,SELL,19635.0,1,-775.9999999999854
2025-04-02 11:30:00,SELL,19767.2,1,928.0000000000291
2025-04-02 11:50:00,SELL,19813.0,1,804.0000000000146
2025-04-02 12:40:00,SELL,19804.2,1,-635.9999999999854
2025-04-02 13:20:00,BUY,19669.0,1,930.0
2025-04-02 13:40:00,BUY,19700.0,1,-1040.0
2025-04-02 15:00:00,SELL,19746.2,1,-611.9999999999709
2025-04-02 15:30:00,SELL,19392.2,1,-11115.999999999985
2025-04-02 15:40:00,BUY,19234.8,1,2420.0
2025-04-02 17:10:00,BUY,18910.0,1,844.0000000000146
2025-04-02 17:30:00,BUY,18910.0,1,-780.0
2025-04-02 19:40:00,SELL,19052.5,1,1210.0
2025-04-02 20:35:00,SELL,19034.0,1,-850.0
2025-04-02 22:00:00,SELL,19131.2,1,834.0000000000146
2025-04-03 02:25:00,BUY,19097.2,1,-604.0000000000146
2025-04-03 04:15:00,SELL,19102.5,1,-660.0
2025-04-03 05:15:00,BUY,18991.8,1,1080.0
2025-04-03 06:10:00,BUY,18995.2,1,-624.0000000000146
2025-04-03 07:25:00,SELL,18991.2,1,-1035.9999999999854
2025-04-03 07:50:00,BUY,18875.0,1,1260.0
2025-04-03 08:10:00,BUY,18883.5,1,-660.0
2025-04-03 10:10:00,BUY,18746.2,1,855.9999999999854
2025-04-03 11:35:00,SELL,18901.8,1,-1368.000000000029
2025-04-03 13:20:00,BUY,18773.5,1,810.0
2025-04-03 14:35:00,BUY,18706.8,1,928.0000000000291
2025-04-03 17:05:00,BUY,18690.5,1,-1400.0
2025-04-03 19:45:00,SELL,18667.2,1,-785.9999999999854
2025-04-03 22:35:00,BUY,18552.0,1,1060.0
2025-04-04 00:05:00,BUY,18465.8,1,1048.000000000029
2025-04-04 00:50:00,SELL,18626.8,1,825.9999999999854
2025-04-04 02:00:00,SELL,18605.0,1,-755.9999999999854
2025-04-04 03:25:00,BUY,18638.0,1,-1030.0
2025-04-04 04:45:00,BUY,18570.2,1,-600.0
2025-04-04 05:15:00,BUY,18423.0,1,844.0000000000146
2025-04-04 05:25:00,BUY,18250.0,1,1830.0
2025-04-04 05:35:00,BUY,18197.5,1,-1885.9999999999854
2025-04-04 06:00:00,BUY,18085.8,1,-651.9999999999709
2025-04-04 06:35:00,BUY,17940.2,1,-764.0000000000146
2025-04-04 07:40:00,SELL,18085.0,1,-2604.0000000000146
2025-04-04 08:15:00,SELL,18188.8,1,-1274.0000000000146
2025-04-04 08:50:00,BUY,18103.5,1,-1500.0
2025-04-04 09:30:00,BUY,17916.0,1,1735.9999999999854
2025-04-04 09:50:00,BUY,17716.2,1,3231.999999999971
2025-04-04 12:25:00,BUY,17709.2,1,-708.0000000000291
2025-04-04 13:10:00,SELL,17800.0,1,-1595.9999999999854
2025-04-04 13:45:00,BUY,17563.5,1,930.0
2025-04-04 15:05:00,BUY,17474.0,1,1215.9999999999854
2025-04-04 15:35:00,BUY,17455.8,1,-625.9999999999854
2025-04-06 17:10:00,BUY,16732.8,1,-860.0
2025-04-06 18:15:00,BUY,16592.0,1,-864.0000000000146
2025-04-06 20:40:00,SELL,16863.0,1,-1355.9999999999854
2025-04-06 21:25:00,SELL,16923.0,1,-1250.0
2025-04-06 22:45:00,BUY,16800.0,1,-895.9999999999854
2025-04-06 23:55:00,BUY,16752.5,1,-680.0
2025-04-07 00:25:00,SELL,16831.0,1,-860.0
2025-04-07 01:45:00,BUY,16573.5,1,1300.0
2025-04-07 02:15:00,BUY,16609.0,1,-1535.9999999999854
2025-04-07 03:15:00,SELL,16806.8,1,-1260.0
2025-04-07 03:30:00,SELL,16862.8,1,-980.0
2025-04-07 05:10:00,SELL,17029.8,1,1065.9999999999854
2025-04-07 05:25:00,SELL,17154.8,1,1615.9999999999854
2025-04-07 05:50:00,SELL,17181.2,1,-1395.9999999999854
2025-04-07 08:40:00,BUY,16842.8,1,1704.0000000000146
2025-04-07 09:05:00,SELL,17227.8,1,-914.0000000000146
2025-04-07 09:25:00,SELL,17458.2,1,-9985.999999999985
2025-04-07 12:35:00,SELL,17584.8,1,-1014.0000000000146
2025-04-07 12:55:00,SELL,17741.5,1,1400.0
2025-04-07 13:05:00,SELL,17744.0,1,-750.0
2025-04-07 14:20:00,BUY,17544.2,1,-1388.000000000029
2025-04-07 19:15:00,SELL,17839.8,1,1595.9999999999854
2025-04-07 20:35:00,BUY,17760.5,1,-934.0000000000146
2025-04-07 21:55:00,SELL,17823.5,1,-650.0
2025-04-07 23:50:00,BUY,17721.8,1,820.0
2025-04-08 00:40:00,BUY,17766.2,1,-1348.000000000029
2025-04-08 02:25:00,SELL,17847.5,1,1034.0000000000146
2025-04-08 03:10:00,SELL,17826.8,1,-1084.0000000000146
2025-04-08 03:35:00,BUY,17778.8,1,-725.9999999999854
2025-04-08 06:40:00,SELL,17936.0,1,1344.0000000000146
2025-04-08 07:10:00,SELL,18041.2,1,1180.0
2025-04-08 08:30:00,SELL,18150.8,1,1091.999999999971
2025-04-08 09:10:00,SELL,18320.5,1,1454.0000000000146
2025-04-08 10:25:00,BUY,18010.8,1,854.0000000000146
2025-04-08 10:35:00,BUY,18032.0,1,-970.0
2025-04-08 11:25:00,BUY,17860.8,1,1000.0
2025-04-08 11:40:00,BUY,17732.2,1,1971.999999999971
2025-04-08 12:10:00,BUY,17582.8,1,1600.0
2025-04-08 12:40:00,BUY,17605.5,1,-1950.0
2025-04-08 13:50:00,BUY,17515.5,1,-1310.0
2025-04-08 14:05:00,BUY,17368.8,1,1414.0000000000146
2025-04-08 14:15:00,BUY,17225.8,1,1184.0000000000146
2025-04-08 14:25:00,BUY,17248.0,1,-1450.0
2025-04-08 14:50:00,BUY,16981.0,1,1564.0000000000146
2025-04-08 18:30:00,BUY,16887.8,1,1394.0000000000146
2025-04-08 20:55:00,SELL,17070.0,1,-1055.9999999999854
2025-04-08 23:00:00,BUY,16929.2,1,820.0
2025-04-08 23:15:00,BUY,16925.2,1,-1264.0000000000146
2025-04-08 23:35:00,BUY,16838.8,1,-1135.9999999999854
2025-04-09 01:15:00,SELL,17102.2,1,3560.0
2025-04-09 02:10:00,SELL,17182.0,1,-1580.0
2025-04-09 05:30:00,BUY,17206.8,1,-805.9999999999854
2025-04-09 06:15:00,BUY,17085.5,1,-930.0
2025-04-09 06:50:00,BUY,17016.8,1,-1555.9999999999854
2025-04-09 08:45:00,SELL,17367.8,1,-1348.000000000029
2025-04-09 12:05:00,SELL,17693.5,1,3085.9999999999854
2025-04-09 12:25:00,SELL,18386.2,1,8168.000000000029
2025-04-09 13:10:00,SELL,18864.0,1,-1124.0000000000146
2025-04-09 13:35:00,SELL,18973.8,1,-1368.000000000029
2025-04-09 14:35:00,SELL,19233.0,1,1644.0000000000146
2025-04-09 15:00:00,SELL,19269.2,1,-1215.9999999999854
2025-04-09 19:35:00,BUY,19213.5,1,1230.0
2025-04-09 19:50:00,BUY,19161.5,1,925.9999999999854
2025-04-09 21:15:00,BUY,19154.2,1,-634.0000000000146
2025-04-09 22:20:00,BUY,19035.2,1,1385.9999999999854
2025-04-09 23:50:00,BUY,19061.2,1,-828.0000000000291
2025-04-10 01:10:00,SELL,19115.0,1,-630.0
2025-04-10 02:35:00,BUY,18967.2,1,1335.9999999999854
2025-04-10 02:50:00,BUY,18986.2,1,-1284.0000000000146
2025-04-10 03:30:00,BUY,18878.8,1,-675.9999999999854
2025-04-10 03:45:00,BUY,18844.0,1,-995.9999999999854
2025-04-10 05:15:00,SELL,18957.5,1,914.0000000000146
2025-04-10 05:25:00,SELL,18939.8,1,-854.0000000000146
2025-04-10 07:35:00,BUY,18915.8,1,-1491.999999999971
2025-04-10 08:10:00,BUY,18845.8,1,-985.9999999999854
2025-04-10 08:50:00,BUY,18809.2,1,-1594.0000000000146
2025-04-10 09:15:00,BUY,18619.0,1,855.9999999999854
2025-04-10 10:25:00,BUY,18508.2,1,800.0
2025-04-10 10:40:00,BUY,18424.0,1,864.0000000000146
2025-04-10 11:00:00,BUY,18277.2,1,2480.0
2025-04-10 11:10:00,BUY,18242.2,1,-1034.0000000000146
2025-04-10 11:30:00,BUY,18013.2,1,1915.9999999999854
2025-04-10 13:10:00,SELL,18392.5,1,-3545.9999999999854
2025-04-10 13:35:00,SELL,18561.0,1,-1075.9999999999854
2025-04-10 14:55:00,BUY,18518.2,1,-5060.0
2025-04-10 17:55:00,SELL,18549.2,1,-615.9999999999854
2025-04-10 18:35:00,BUY,18424.8,1,-795.9999999999854
2025-04-10 18:55:00,BUY,18331.5,1,925.9999999999854
2025-04-10 19:20:00,BUY,18212.2,1,1555.9999999999854
2025-04-10 20:05:00,BUY,18206.5,1,-1034.0000000000146
2025-04-10 21:05:00,SELL,18303.8,1,-720.0
2025-04-10 22:00:00,SELL,18354.8,1,-904.0000000000146
